from,to,weight
14854,29541,7
14854,29546,5
14854,29550,7
14854,29565,7
14854,29572,7
14854,29587,1.5
14854,29588,2
14854,29701,7
14854,29717,0.5
14854,29718,7
14854,29759,7
14854,29760,7
14854,29762,7
14854,29769,1
14854,29910,7
14854,29932,7
14854,31102,7
14854,31103,1
14854,39305,2
14854,39308,7
14863,14066,7
14863,14657,7
14863,14854,7
14863,15085,7
14863,15444,2
14863,15445,7
14863,15446,7
14863,15455,7
14863,15621,7
14863,15634,7
14863,20107,7
14863,20124,7
14863,20130,4
14863,20134,6
14863,20136,1
14863,20138,7
14863,20139,7
14863,20301,7
14863,20304,4
14863,20307,7
14863,20316,7
14863,20325,6
14863,20337,7
14863,20342,7
14863,20344,7
14863,20346,4
14863,20351,7
14863,20352,7
14863,20355,7
14863,20356,7
14863,20357,7
14863,20501,1
14863,20505,2
14863,20508,4
14863,20518,7
14863,20521,7
14863,20522,7
14863,20526,7
14863,20527,7
14863,20528,7
14863,20530,7
14863,20531,7
14863,20532,7
14863,20533,2
14863,20535,7
14863,20536,6.5
14863,20703,7
14863,20704,7
14863,20709,7
14863,20715,7
14863,20725,7
14863,20726,1
14863,20729,7
14863,20738,7
14863,20755,7
14863,20756,7
14863,20758,7
14863,20759,5.5
14863,20903,7
14863,20906,6
14863,20909,7
14863,20910,7
14863,20915,7
14863,20916,7
14863,20924,7
14863,20925,7
14863,20926,7
14863,20929,7
14863,20941,0.5
14863,20944,0.5
14863,20946,6
14863,20947,7
14863,20948,7
14863,20949,4
14863,20962,7
14863,20963,7
14863,21101,7
14863,21103,6.5
14863,21105,7
14863,21106,7
14863,21108,7
14863,21109,7
14863,21110,0.5
14863,21111,7
14863,21116,7
14863,21117,7
14863,21122,7
14863,21123,7
14863,21125,7
14863,21128,7
14863,21129,7
14863,21131,7
14863,21132,7
14863,21135,7
14863,21139,7
14863,21142,7
14863,21143,7
14863,21148,7
14863,21149,7
14863,21150,7
14863,21162,7
14863,21163,7
14863,21164,7
14863,21165,7
14863,21167,6
14863,21168,6
14863,21170,7
14863,21171,6
14863,21174,7
14863,21175,7
14863,21176,2
14863,21177,6
14863,21178,7
14863,21179,7
14863,21180,7
14863,21182,7
14863,21184,7
14863,21187,7
14863,21188,7
14863,21189,7
14863,21191,7
14863,21192,7
14863,21193,7
14863,21196,7
14863,21198,0.5
14863,21302,7
14863,21303,0.5
14863,21305,7
14863,21307,7
14863,21317,7
14863,21318,7
14863,21323,7
14863,21324,1
14863,21328,7
14863,21330,7
14863,21331,7
14863,21332,7
14863,21333,7
14863,21337,7
14863,21345,7
14863,21346,7
14863,21347,7
14863,21348,7
14863,21349,7
14863,21350,7
14863,21351,7
14863,21353,6.5
14863,21354,7
14863,21355,7
14863,21356,7
14863,21357,6
14863,21358,1
14863,21359,7
14863,21360,7
14863,21364,7
14863,21365,0.5
14863,21367,7
14863,21373,7
14863,21376,7
14863,21500,7
14863,21501,7
14863,21503,7
14863,21505,7
